R,G,B,stdR,stdG,stdB,acc1,acc2,acc3,acc4,acc5,credit,watchthisinstagood,instagood,2instagood,instagood10k,yay,nay,suggested,like,photos,love,empty,soir,bdteam
204.080117188,199.022463379,209.12737793,63.7062040293,64.0317883761,53.2641281641,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199.460097656,200.949404297,179.987880859,66.8307461974,62.6631543783,67.8480412666,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153.531645508,156.303947754,165.21265625,77.8067249961,76.3445741682,71.1122081257,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152.083032227,152.576142578,159.240065918,66.9620741918,71.1324702467,73.4547076096,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
184.691269531,176.546967773,172.698361816,71.4283798651,60.8981639152,59.6663831121,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117.355158691,119.73635498,124.64567627,64.7717127529,74.3753042969,80.7999390199,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122.619519043,128.957543945,143.425490723,62.440009587,67.2955978462,72.8120884184,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168.639240723,161.151838379,174.240083008,73.2321012336,80.6143311091,73.9816427808,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153.526350098,156.22404541,161.797749023,66.083896643,72.2440964651,70.4112168674,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134.901313477,131.815957031,133.862080078,68.9591502383,67.5218890671,63.3454954092,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
